awardYear,category,dateAwarded,prizeAmount,prizeAmountAdjusted,id,name,motivation
1901,Chemistry,1901-11-12,150782,9704878,160,Jacobus H. van 't Hoff,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
1901,Literature,1901-11-14,150782,9704878,569,Sully Prudhomme,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
1901,Peace,1901-12-10,150782,9704878,462,Henry Dunant,for his humanitarian efforts to help wounded soldiers and create international understanding
1901,Peace,1901-12-10,150782,9704878,463,Frédéric Passy,"for his lifelong work for international peace conferences, diplomacy and arbitration"
1901,Physics,1901-11-12,150782,9704878,1,Wilhelm Conrad Röntgen,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
1901,Physiology or Medicine,1901-10-30,150782,9704878,293,Emil von Behring,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
1902,Chemistry,1902-11-11,141847,9129789,161,Emil Fischer,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
1902,Literature,1902-11-13,141847,9129789,571,Theodor Mommsen,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"
1902,Peace,1902-12-10,141847,9129789,464,Élie Ducommun,for his untiring and skilful directorship of the Bern Peace Bureau
1902,Peace,1902-12-10,141847,9129789,465,Albert Gobat,for his eminently practical administration of the Inter-Parliamentary Union
1902,Physics,1902-11-11,141847,9129789,2,Hendrik A. Lorentz,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1902,Physics,1902-11-11,141847,9129789,3,Pieter Zeeman,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1902,Physiology or Medicine,1902-10-30,141847,9129789,294,Ronald Ross,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
1903,Chemistry,1903-11-12,141358,8830717,162,Svante Arrhenius,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
1903,Literature,1903-11-19,141358,8830717,572,Bjørnstjerne Bjørnson,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
1903,Peace,1903-12-10,141358,8830717,466,Randal Cremer,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
1903,Physics,1903-11-12,141358,8830717,4,Henri Becquerel,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
1903,Physics,1903-11-12,141358,8830717,5,Pierre Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
1903,Physics,1903-11-12,141358,8830717,6,Marie Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
1903,Physiology or Medicine,1903-10-15,141358,8830717,295,Niels Ryberg Finsen,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
1904,Chemistry,1904-11-08,140859,8799545,163,Sir William Ramsay,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
1904,Literature,1904-11-17,140859,8799545,573,Frédéric Mistral,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist"
1904,Literature,1904-11-17,140859,8799545,574,José Echegaray,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"
1904,Peace,1904-12-10,140859,8799545,467,Institute of International Law,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane
1904,Physics,1904-11-08,140859,8799545,8,Lord Rayleigh,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
1904,Physiology or Medicine,1904-10-20,140859,8799545,296,Ivan Pavlov,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
1905,Chemistry,1905-11-09,138089,8626501,164,Adolf von Baeyer,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
1905,Literature,1905-11-09,138089,8626501,575,Henryk Sienkiewicz,because of his outstanding merits as an epic writer
1905,Peace,1905-12-10,138089,8626501,468,Bertha von Suttner,for her audacity to oppose the horrors of war
1905,Physics,1905-11-09,138089,8626501,9,Philipp Lenard,for his work on cathode rays
1905,Physiology or Medicine,1905-10-12,138089,8626501,297,Robert Koch,for his investigations and discoveries in relation to tuberculosis
1906,Chemistry,1906-11-12,138536,8407156,165,Henri Moissan,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
1906,Literature,1906-11-08,138536,8407156,576,Giosuè Carducci,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
1906,Peace,1906-12-10,138536,8407156,470,Theodore Roosevelt,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia"
1906,Physics,1906-11-12,138536,8407156,10,J.J. Thomson,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
1906,Physiology or Medicine,1906-10-25,138536,8407156,298,Camillo Golgi,in recognition of their work on the structure of the nervous system
1906,Physiology or Medicine,1906-10-25,138536,8407156,299,Santiago Ramón y Cajal,in recognition of their work on the structure of the nervous system
1907,Chemistry,1907-11-12,138796,7967641,166,Eduard Buchner,for his biochemical researches and his discovery of cell-free fermentation
1907,Literature,1907-11-07,138796,7967641,577,Rudyard Kipling,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"
1907,Peace,1907-12-10,138796,7967641,471,Ernesto Teodoro Moneta,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy"
1907,Peace,1907-12-10,138796,7967641,472,Louis Renault,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences
1907,Physics,1907-11-12,138796,7967641,11,Albert A. Michelson,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
1907,Physiology or Medicine,1907-10-31,138796,7967641,300,Alphonse Laveran,in recognition of his work on the role played by protozoa in causing diseases
1908,Chemistry,1908-11-10,139800,8025276,167,Ernest Rutherford,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
1908,Literature,1908-11-12,139800,8025276,578,Rudolf Eucken,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
1908,Peace,1908-12-10,139800,8025276,473,Klas Pontus Arnoldson,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
1908,Peace,1908-12-10,139800,8025276,474,Fredrik Bajer,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
1908,Physics,1908-11-10,139800,8025276,12,Gabriel Lippmann,for his method of reproducing colours photographically based on the phenomenon of interference
1908,Physiology or Medicine,1908-10-29,139800,8025276,301,Ilya Mechnikov,in recognition of their work on immunity
1908,Physiology or Medicine,1908-10-29,139800,8025276,302,Paul Ehrlich,in recognition of their work on immunity
1909,Chemistry,1909-11-09,139800,8025276,168,Wilhelm Ostwald,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
1909,Literature,1909-11-11,139800,8025276,579,Selma Lagerlöf,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
1909,Peace,1909-12-10,139800,8025276,475,Auguste Beernaert,for their prominent position in the international movement for peace and arbitration
1909,Peace,1909-12-10,139800,8025276,476,Paul Henri d'Estournelles de Constant,for their prominent position in the international movement for peace and arbitration
1909,Physics,1909-11-09,139800,8025276,13,Guglielmo Marconi,in recognition of their contributions to the development of wireless telegraphy
1909,Physics,1909-11-09,139800,8025276,14,Ferdinand Braun,in recognition of their contributions to the development of wireless telegraphy
1909,Physiology or Medicine,1909-10-28,139800,8025276,303,Theodor Kocher,"for his work on the physiology, pathology and surgery of the thyroid gland"
1910,Chemistry,1910-11-12,140703,8077113,169,Otto Wallach,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
1910,Literature,1910-11-10,140703,8077113,580,Paul Heyse,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"
1910,Peace,1910-12-10,140703,8077113,477,Permanent International Peace Bureau,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement"
1910,Physics,1910-11-05,140703,8077113,15,Johannes Diderik van der Waals,for his work on the equation of state for gases and liquids
1910,Physiology or Medicine,1910-10-20,140703,8077113,304,Albrecht Kossel,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
1911,Chemistry,1911-11-07,140695,8301005,6,Marie Curie,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"
1911,Literature,1911-11-09,140695,8301005,581,Maurice Maeterlinck,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"
1911,Peace,1911-12-10,140695,8301005,478,Tobias Asser,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations"
1911,Peace,1911-12-10,140695,8301005,479,Alfred Fried,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations"
1911,Physics,1911-11-07,140695,8301005,16,Wilhelm Wien,for his discoveries regarding the laws governing the radiation of heat
1911,Physiology or Medicine,1911-10-19,140695,8301005,305,Allvar Gullstrand,for his work on the dioptrics of the eye
1912,Chemistry,1912-11-12,140476,7650539,172,Victor Grignard,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
1912,Chemistry,1912-11-12,140476,7650539,173,Paul Sabatier,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
1912,Literature,1912-11-14,140476,7650539,582,Gerhart Hauptmann,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"
1912,Peace,1913-12-10,140476,7650539,480,Elihu Root,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries
1912,Physics,1912-11-12,140476,7650539,17,Gustaf Dalén,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
1912,Physiology or Medicine,1912-10-10,140476,7650539,306,Alexis Carrel,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
1913,Chemistry,1913-11-11,143010,7788545,174,Alfred Werner,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
